No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益,鑑定費,手取り利益,利益率,月換算利益率
061/054,SR,ブルーの探索,061/054,44000,6/13,,28800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d39622d3036312e6a7067003136300000660023666666666666.jpg,15200,3000,12200,38.4,19.2
059/055,SR,ゲッコウガ＆ゾロアークGX(SA),059/055,78000,6/13,,51800,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533332e6a7067003136300000660023666666666666.jpg,26200,3000,23200,42.3,21.2
061/055,SR,サーナイト＆ニンフィアGX(SA),061/055,230000,6/13,,128000,在庫あり (14枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533352e6a7067003136300000660023666666666666.jpg,102000,10000,92000,66.7,
112/095,HR,ピカチュウ＆ゼクロムGX,112/095,80000,6/13,,35800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393131322e6a7067003136300000660023666666666666.jpg,44200,10000,34200,74.7,
113/095,HR,ゲンガー＆ミミッキュGX,113/095,80000,6/13,,52800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393131332e4a5047003136300000660023666666666666.jpg,27200,3000,24200,43.4,21.7
097/095,SR,セレビィ＆フシギバナGX(SA),097/095,55000,6/13,,37800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393039372e6a7067003136300000660023666666666666.jpg,17200,3000,14200,34.8,17.4
099/095,SR,コイキング＆ホエルオーGX(SA),099/095,180000,6/13,,138000,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393039392e6a7067003136300000660023666666666666.jpg,42000,10000,32000,21.6,
101/095,SR,ピカチュウ＆ゼクロムGX(SA),101/095,420000,6/13,,278000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130312e4a50470031363000534f4c44204f555400660023666666666666.jpg,142000,10000,132000,45.8,
103/095,SR,ゲンガー＆ミミッキュGX(SA),103/095,380000,6/13,,278000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130332e6a70670031363000534f4c44204f555400660023666666666666.jpg,102000,10000,92000,31.9,
105/095,SR,ラティアス＆ラティオスGX(SA),105/095,600000,6/13,,448000,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130352e4a5047003136300000660023666666666666.jpg,152000,10000,142000,31.0,
238/150,SSR,ニンフィアGX,238/150,58000,6/13,,39800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7573666f696c3233352e6a7067003136300000660023666666666666.jpg,18200,3000,15200,35.5,17.8
240/150,SSR,レックウザGX,240/150,270000,6/13,,178000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7573666f696c3233372e6a70670031363000534f4c44204f555400660023666666666666.jpg,92000,10000,82000,43.6,
108/095,HR,ルギアGX,108/095,85000,6/13,,49800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138303930375f6463353436372e6a70670031363000534f4c44204f555400660023666666666666.jpg,35200,10000,25200,42.1,
101/095,SR,アカネ,101/095,28000,6/13,,14800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f313839377073696e382e6a7067003136300000660023666666666666.jpg,13200,3000,10200,57.3,28.7
060/050,HR,ミミッキュGX,060/050,30000,6/13,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d696d696b6b797568722e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200,3000,9200,44.2,22.1
065/060,SR,カヒリ,065/060,18000,6/13,,9980,在庫あり (22枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6b616869726973722e6a7067003136300000660023666666666666.jpg,8020,3000,5020,38.7,19.3
109/096,HR,レックウザGX,109/096,260000,6/13,,178000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72656b6b757568722e6a70670031363000534f4c44204f555400660023666666666666.jpg,82000,10000,72000,38.3,
059/050,HR,ルカリオGX,059/050,35000,6/13,,19800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72756b6172696f3035392e6a70670031363000534f4c44204f555400660023666666666666.jpg,15200,3000,12200,53.5,26.8
070/066,SR,ナタネ,070/066,40000,6/13,,27800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e6174616e657372322e6a7067003136300000660023666666666666.jpg,12200,3000,9200,29.9,14.9
118/114,SR,スイレン,118/114,140000,6/13,,67800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73756972656e6e7372392e6a7067003136300000660023666666666666.jpg,72200,10000,62200,79.9,
119/114,SR,リーリエ,119/114,1400000,6/13,,998000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732335f6136396334612e6a70670031363000534f4c44204f555400660023666666666666.jpg,402000,10000,392000,38.9,
120/114,SR,ルザミーネ,120/114,280000,6/13,,178000,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757a616d6979616d696f7469312e6a7067003136300000660023666666666666.jpg,102000,10000,92000,48.9,
080/072,HR,ミュウツーGX,080/072,140000,6/13,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d79757574752d68722e6a70670031363000534f4c44204f555400660023666666666666.jpg,50200,10000,40200,40.3,
082/072,＊,ミュウツーGX(SR仕様),082/072,480000,6/13,,378000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d79757574752d3038322e6a70670031363000534f4c44204f555400660023666666666666.jpg,102000,10000,92000,23.7,
058/051,HR,リザードンGX,058/051,620000,6/13,,398000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72697a6168722e6a70670031363000534f4c44204f555400660023666666666666.jpg,222000,10000,212000,52.0,
059/051,HR,ホウオウGX,059/051,55000,6/13,,37800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f686f756f756872312e6a70670031363000534f4c44204f555400660023666666666666.jpg,17200,3000,14200,34.8,17.4
052/051,SR,リザードンGX,052/051,230000,6/13,,148000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72697a6173722e6a70670031363000534f4c44204f555400660023666666666666.jpg,82000,10000,72000,45.6,
063/049,HR,ダークライGX,063/049,50000,6/13,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f64612d6b7572616968722e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200,3000,19200,62.3,31.2
056/049,SR,アセロラ,056/049,900000,6/13,,598000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234303131345f3333663761642e6a7067003136300000660023666666666666.jpg,302000,10000,292000,48.0,
055/050,SR,マオ,055/050,80000,6/13,,51800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d616f73722e6a7067003136300000660023666666666666.jpg,28200,3000,25200,46.0,23.0
064/051,HR,ニンフィアGX,064/051,450000,6/13,,248000,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e6966696168722e6a7067003136300000660023666666666666.jpg,202000,10000,192000,74.4,
057/051,SR,ニンフィアGX,057/051,90000,6/13,,54800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e696e6e666973722e6a7067003136300000660023666666666666.jpg,35200,10000,25200,38.9,
068/060,HR,エーフィGX,068/060,95000,6/13,,44800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f652d666968722e6a70670031363000534f4c44204f555400660023666666666666.jpg,50200,10000,40200,73.4,
062/060,SR,エーフィGX,062/060,50000,6/13,,21800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138303930395f6166626663612e4a50470031363000534f4c44204f555400660023666666666666.jpg,28200,3000,25200,101.6,50.8
066/060,SR,リーリエ,066/060,850000,6/13,,698000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234303731385f3261336664392e6a7067003136300000660023666666666666.jpg,152000,10000,142000,20.1,
137/SM-P,PROMO,ポンチョを着たイーブイ(シャワーズ),137/SM-P,500000,6/13,,168000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693137322e6a70670031363000534f4c44204f555400660023666666666666.jpg,332000,10000,322000,180.9,
138/SM-P,PROMO,ポンチョを着たイーブイ(サンダース),138/SM-P,300000,6/13,,118000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693133382e6a70670031363000534f4c44204f555400660023666666666666.jpg,182000,10000,172000,134.4,
139/SM-P,PROMO,ポンチョを着たイーブイ(ブースター),139/SM-P,300000,6/13,,118000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693133392e6a70670031363000534f4c44204f555400660023666666666666.jpg,182000,10000,172000,134.4,
140/SM-P,PROMO,ポンチョを着たイーブイ(エーフィ),140/SM-P,220000,6/13,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134302e6a70670031363000534f4c44204f555400660023666666666666.jpg,112000,10000,102000,86.4,
141/SM-P,PROMO,ポンチョを着たイーブイ(ブラッキー),141/SM-P,500000,6/13,,168000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134312e6a70670031363000534f4c44204f555400660023666666666666.jpg,332000,10000,322000,180.9,
142/SM-P,PROMO,ポンチョを着たイーブイ(リーフィア),142/SM-P,280000,6/13,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134322e6a70670031363000534f4c44204f555400660023666666666666.jpg,172000,10000,162000,137.3,
143/SM-P,PROMO,ポンチョを着たイーブイ(グレイシア),143/SM-P,250000,6/13,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134332e6a70670031363000534f4c44204f555400660023666666666666.jpg,142000,10000,132000,111.9,
144/SM-P,PROMO,ポンチョを着たイーブイ(ニンフィア),144/SM-P,380000,6/13,,138000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134342e6a70670031363000534f4c44204f555400660023666666666666.jpg,242000,10000,232000,156.8,
270/SM-P,PROMO,レッドのピカチュウ,270/SM-P,140000,6/13,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7475696b6170393236362e6a70670031363000534f4c44204f555400660023666666666666.jpg,50200,10000,40200,40.3,
280/SM-P,PROMO,ヨコハマのピカチュウ,280/SM-P,250000,6/13,,188000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f6132636330622e6a70670031363000534f4c44204f555400660023666666666666.jpg,62000,10000,52000,26.3,
283/SM-P,PROMO,ヨコハマのピカチュウ,283/SM-P,130000,6/13,,79800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f6439366330382e6a70670031363000534f4c44204f555400660023666666666666.jpg,50200,10000,40200,44.8,
287/SM-P,PROMO,イーブイ(ムンク),287/SM-P,520000,6/13,,348000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132365f6439633866372e6a70670031363000534f4c44204f555400660023666666666666.jpg,172000,10000,162000,45.3,
286/SM-P,PROMO,コダック(ムンク),286/SM-P,1000000,6/13,,448000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132365f6561353866362e6a70670031363000534f4c44204f555400660023666666666666.jpg,552000,10000,542000,118.3,
325/SM-P,PROMO,お茶会ごっこピカチュウ,325/SM-P,130000,6/13,,59800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303331365f3964613431642e6a70670031363000534f4c44204f555400660023666666666666.jpg,70200,10000,60200,86.2,
407/SM-P,PROMO,漫才ごっこピカチュウ,407/SM-P,100000,6/13,,54800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303932305f3364363538662e6a70670031363000534f4c44204f555400660023666666666666.jpg,45200,10000,35200,54.3,
365/SM-P,PROMO,アーマードミュウツー,365/SM-P,110000,6/13,,3780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303730355f3332323763322e6a70670031363000534f4c44204f555400660023666666666666.jpg,106220,10000,96220,698.3,
