No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益,鑑定費,手取り利益,利益率,月換算利益率
201/173,SR,レッドの挑戦,201/173,70000,6/29,,47800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032382e6a7067003136300000660023666666666666.jpg,22200,3000,19200,37.8,18.9
041/173,RR,ピカチュウ＆ゼクロムGX,041/173,20000,6/29,,6980,在庫あり (9枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613034312e6a7067003136300000660023666666666666.jpg,13020,3000,10020,100.4,50.2
052/173,RR,ミュウツー＆ミュウGX,052/173,18000,6/29,,6980,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613035322e6a7067003136300000660023666666666666.jpg,11020,3000,8020,80.4,40.2
083/173,RR,ルカリオ＆メルメタルGX,083/173,8000,6/29,,1380,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613038332e6a7067003136300000660023666666666666.jpg,6620,3000,3620,82.6,41.3
094/173,RR,トゲピー＆ピィ＆ププリンGX,094/173,11000,6/29,,3780,在庫あり (41枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613039342e6a7067003136300000660023666666666666.jpg,7220,3000,4220,62.2,31.1
099/173,RR,ガブリアス＆ギラティナGX,099/173,8000,6/29,,2780,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613039392e6a7067003136300000660023666666666666.jpg,5220,3000,2220,38.4,19.2
100/173,RR,レックウザGX,100/173,15000,6/29,,1680,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613130302e6a70670031363000534f4c44204f555400660023666666666666.jpg,13320,3000,10320,220.5,110.3
102/173,RR,ファイヤー＆サンダー＆フリーザーGX,102/173,12000,6/29,,4280,在庫あり (18枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613130322e6a7067003136300000660023666666666666.jpg,7720,3000,4720,64.8,32.4
058/049,CHR,ミミッキュ,058/049,16000,6/29,,9980,在庫あり (20枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f3736373461382e6a7067003136300000660023666666666666.jpg,6020,3000,3020,23.3,11.6
066/064,SR,フシギバナ＆ツタージャGX(SA),066/064,30000,6/29,,18800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d313161323030322e6a7067003136300000660023666666666666.jpg,11200,3000,8200,37.6,18.8
070/064,SR,カメックス＆ポッチャマGX(SA),070/064,75000,6/29,,52800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d313161323030362e6a7067003136300000660023666666666666.jpg,22200,3000,19200,34.4,17.2
096/094,SR,ヤドン＆コダックGX(SA),096/094,100000,6/29,,59800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f3834323834632e6a70670031363000534f4c44204f555400660023666666666666.jpg,40200,10000,30200,43.3,
098/094,SR,ミュウツー＆ミュウGX(SA),098/094,350000,6/29,,198000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f3863346430622e6a70670031363000534f4c44204f555400660023666666666666.jpg,152000,10000,142000,68.3,
102/094,SR,メガヤミラミ＆バンギラスGX(SA),102/094,58000,6/29,,42800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f6262316165362e6a7067003136300000660023666666666666.jpg,15200,3000,12200,26.6,13.3
060/054,SR,ファイヤー＆サンダー＆フリーザーGX(SA),060/054,260000,6/29,,128000,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303432355f3236366530392e6a7067003136300000660023666666666666.jpg,132000,10000,122000,88.4,
062/054,SR,ムサシとコジロウ,062/054,55000,6/29,,37800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130623036322e6a7067003136300000660023666666666666.jpg,17200,3000,14200,34.8,17.4
057/054,SR,ライチュウ＆アローラライチュウGX(SA),057/054,140000,6/29,,99800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130613035372e6a7067003136300000660023666666666666.jpg,40200,10000,30200,27.5,
060/054,SR,ガブリアス＆ギラティナGX(SA),060/054,110000,6/29,,44800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130613036302e6a7067003136300000660023666666666666.jpg,65200,10000,55200,100.7,
108/095,HR,レシラム＆リザードンGX,108/095,48000,6/29,,25800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303330315f3665316363372e6a7067003136300000660023666666666666.jpg,22200,3000,19200,66.7,33.3
097/095,SR,レシラム＆リザードンGX(SA),097/095,240000,6/29,,138000,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d31303039372e6a7067003136300000660023666666666666.jpg,102000,10000,92000,62.2,
059/054,SR,ルカリオ＆メルメタルGX(SA),059/054,50000,6/29,,25800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d39622d3035392e6a7067003136300000660023666666666666.jpg,24200,3000,21200,73.6,36.8
059/055,SR,ゲッコウガ＆ゾロアークGX(SA),059/055,74000,6/29,,49800,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533332e6a7067003136300000660023666666666666.jpg,24200,3000,21200,40.2,20.1
061/055,SR,サーナイト＆ニンフィアGX(SA),061/055,200000,6/28,,108000,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533352e6a7067003136300000660023666666666666.jpg,92000,10000,82000,69.5,
112/095,HR,ピカチュウ＆ゼクロムGX,112/095,80000,6/29,,35800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393131322e6a7067003136300000660023666666666666.jpg,44200,10000,34200,74.7,
113/095,HR,ゲンガー＆ミミッキュGX,113/095,80000,6/29,,52800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393131332e4a50470031363000534f4c44204f555400660023666666666666.jpg,27200,3000,24200,43.4,21.7
097/095,SR,セレビィ＆フシギバナGX(SA),097/095,55000,6/29,,37800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393039372e6a7067003136300000660023666666666666.jpg,17200,3000,14200,34.8,17.4
099/095,SR,コイキング＆ホエルオーGX(SA),099/095,180000,6/29,,138000,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393039392e6a7067003136300000660023666666666666.jpg,42000,10000,32000,21.6,
101/095,SR,ピカチュウ＆ゼクロムGX(SA),101/095,420000,6/29,,298000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130312e4a50470031363000534f4c44204f555400660023666666666666.jpg,122000,10000,112000,36.4,
103/095,SR,ゲンガー＆ミミッキュGX(SA),103/095,350000,6/29,,278000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130332e6a70670031363000534f4c44204f555400660023666666666666.jpg,72000,10000,62000,21.5,
105/095,SR,ラティアス＆ラティオスGX(SA),105/095,600000,6/29,,478000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130352e4a50470031363000534f4c44204f555400660023666666666666.jpg,122000,10000,112000,23.0,
238/150,SSR,ニンフィアGX,238/150,58000,6/29,,37800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7573666f696c3233352e6a7067003136300000660023666666666666.jpg,20200,3000,17200,42.2,21.1
108/095,HR,ルギアGX,108/095,70000,6/29,,49800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138303930375f6463353436372e6a70670031363000534f4c44204f555400660023666666666666.jpg,20200,3000,17200,32.6,16.3
101/095,SR,アカネ,101/095,28000,6/29,,15800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f313839377073696e382e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200,3000,9200,48.9,24.5
060/050,HR,ミミッキュGX,060/050,30000,6/29,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d696d696b6b797568722e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200,3000,9200,44.2,22.1
065/060,SR,カヒリ,065/060,15000,6/29,,8980,在庫あり (16枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6b616869726973722e6a7067003136300000660023666666666666.jpg,6020,3000,3020,25.2,12.6
109/096,HR,レックウザGX,109/096,260000,6/29,,178000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72656b6b757568722e6a7067003136300000660023666666666666.jpg,82000,10000,72000,38.3,
059/050,HR,ルカリオGX,059/050,35000,6/29,,19800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72756b6172696f3035392e6a70670031363000534f4c44204f555400660023666666666666.jpg,15200,3000,12200,53.5,26.8
118/114,SR,スイレン,118/114,140000,6/29,,64800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73756972656e6e7372392e6a7067003136300000660023666666666666.jpg,75200,10000,65200,87.2,
119/114,SR,リーリエ,119/114,1400000,6/29,,998000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732335f6136396334612e6a70670031363000534f4c44204f555400660023666666666666.jpg,402000,10000,392000,38.9,
120/114,SR,ルザミーネ,120/114,300000,6/29,,178000,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757a616d6979616d696f7469312e6a7067003136300000660023666666666666.jpg,122000,10000,112000,59.6,
080/072,HR,ミュウツーGX,080/072,140000,6/29,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d79757574752d68722e6a70670031363000534f4c44204f555400660023666666666666.jpg,50200,10000,40200,40.3,
082/072,＊,ミュウツーGX(SR仕様),082/072,480000,6/29,,378000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d79757574752d3038322e6a70670031363000534f4c44204f555400660023666666666666.jpg,102000,10000,92000,23.7,
058/051,HR,リザードンGX,058/051,550000,6/29,,398000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72697a6168722e6a70670031363000534f4c44204f555400660023666666666666.jpg,152000,10000,142000,34.8,
059/051,HR,ホウオウGX,059/051,55000,6/29,,37800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f686f756f756872312e6a70670031363000534f4c44204f555400660023666666666666.jpg,17200,3000,14200,34.8,17.4
052/051,SR,リザードンGX,052/051,230000,6/29,,148000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72697a6173722e6a70670031363000534f4c44204f555400660023666666666666.jpg,82000,10000,72000,45.6,
063/049,HR,ダークライGX,063/049,50000,6/29,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f64612d6b7572616968722e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200,3000,19200,62.3,31.2
056/049,SR,アセロラ,056/049,900000,6/29,,598000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234303131345f3333663761642e6a7067003136300000660023666666666666.jpg,302000,10000,292000,48.0,
055/050,SR,マオ,055/050,80000,6/29,,49800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d616f73722e6a7067003136300000660023666666666666.jpg,30200,10000,20200,33.8,
064/051,HR,ニンフィアGX,064/051,450000,6/29,,248000,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e6966696168722e6a7067003136300000660023666666666666.jpg,202000,10000,192000,74.4,
057/051,SR,ニンフィアGX,057/051,90000,6/29,,54800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e696e6e666973722e6a7067003136300000660023666666666666.jpg,35200,10000,25200,38.9,
068/060,HR,エーフィGX,068/060,70000,6/29,,47800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f652d666968722e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200,3000,19200,37.8,18.9
062/060,SR,エーフィGX,062/060,50000,6/29,,21800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138303930395f6166626663612e4a5047003136300000660023666666666666.jpg,28200,3000,25200,101.6,50.8
066/060,SR,リーリエ,066/060,850000,6/29,,698000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234303731385f3261336664392e6a7067003136300000660023666666666666.jpg,152000,10000,142000,20.1,
137/SM-P,PROMO,ポンチョを着たイーブイ(シャワーズ),137/SM-P,550000,6/29,,168000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693137322e6a70670031363000534f4c44204f555400660023666666666666.jpg,382000,10000,372000,209.0,
138/SM-P,PROMO,ポンチョを着たイーブイ(サンダース),138/SM-P,300000,6/29,,118000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693133382e6a70670031363000534f4c44204f555400660023666666666666.jpg,182000,10000,172000,134.4,
139/SM-P,PROMO,ポンチョを着たイーブイ(ブースター),139/SM-P,300000,6/29,,118000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693133392e6a70670031363000534f4c44204f555400660023666666666666.jpg,182000,10000,172000,134.4,
140/SM-P,PROMO,ポンチョを着たイーブイ(エーフィ),140/SM-P,220000,6/29,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134302e6a70670031363000534f4c44204f555400660023666666666666.jpg,112000,10000,102000,86.4,
141/SM-P,PROMO,ポンチョを着たイーブイ(ブラッキー),141/SM-P,500000,6/29,,168000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134312e6a70670031363000534f4c44204f555400660023666666666666.jpg,332000,10000,322000,180.9,
142/SM-P,PROMO,ポンチョを着たイーブイ(リーフィア),142/SM-P,280000,6/29,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134322e6a70670031363000534f4c44204f555400660023666666666666.jpg,172000,10000,162000,137.3,
143/SM-P,PROMO,ポンチョを着たイーブイ(グレイシア),143/SM-P,250000,6/29,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134332e6a70670031363000534f4c44204f555400660023666666666666.jpg,142000,10000,132000,111.9,
144/SM-P,PROMO,ポンチョを着たイーブイ(ニンフィア),144/SM-P,380000,6/29,,138000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134342e6a70670031363000534f4c44204f555400660023666666666666.jpg,242000,10000,232000,156.8,
270/SM-P,PROMO,レッドのピカチュウ,270/SM-P,130000,6/29,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7475696b6170393236362e6a70670031363000534f4c44204f555400660023666666666666.jpg,40200,10000,30200,30.3,
283/SM-P,PROMO,ヨコハマのピカチュウ,283/SM-P,130000,6/29,,82800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f6439366330382e6a70670031363000534f4c44204f555400660023666666666666.jpg,47200,10000,37200,40.1,
287/SM-P,PROMO,イーブイ(ムンク),287/SM-P,520000,6/29,,348000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132365f6439633866372e6a70670031363000534f4c44204f555400660023666666666666.jpg,172000,10000,162000,45.3,
286/SM-P,PROMO,コダック(ムンク),286/SM-P,1000000,6/29,,448000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132365f6561353866362e6a7067003136300000660023666666666666.jpg,552000,10000,542000,118.3,
325/SM-P,PROMO,お茶会ごっこピカチュウ,325/SM-P,130000,6/29,,62800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303331365f3964613431642e6a70670031363000534f4c44204f555400660023666666666666.jpg,67200,10000,57200,78.6,
407/SM-P,PROMO,漫才ごっこピカチュウ,407/SM-P,100000,6/29,,54800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303932305f3364363538662e6a70670031363000534f4c44204f555400660023666666666666.jpg,45200,10000,35200,54.3,
365/SM-P,PROMO,アーマードミュウツー,365/SM-P,110000,6/29,,3780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303730355f3332323763322e6a70670031363000534f4c44204f555400660023666666666666.jpg,106220,10000,96220,698.3,
