No,レア,カード名,card_number,買取金額,更新日,弾,ラッシュ販売価格,ラッシュ在庫状況,画像URL,期待利益,鑑定費,手取り利益,利益率,月換算利益率
224/173,UR,ルカリオ＆メルメタルGX,224/173,35000,7/3,,11800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034322e6a70670031363000534f4c44204f555400660023666666666666.jpg,23200,3000,20200,136.5,68.2
225/173,UR,ガブリアス＆ギラティナGX,225/173,36000,7/3,,21800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3034332e6a70670031363000534f4c44204f555400660023666666666666.jpg,14200,3000,11200,45.2,22.6
212/173,HR,エーフィ＆デオキシスGX,212/173,24000,7/3,,16800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033302e6a7067003136300000660023666666666666.jpg,7200,3000,4200,21.2,10.6
214/173,HR,ジラーチGX,214/173,26000,7/3,,13800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033322e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200,3000,9200,54.8,27.4
218/173,HR,トゲピー&ピィ&ププリンGX,218/173,20000,7/3,,12800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033362e6a70670031363000534f4c44204f555400660023666666666666.jpg,7200,3000,4200,26.6,13.3
219/173,HR,イーブイGX,219/173,120000,7/3,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3033372e6a70670031363000534f4c44204f555400660023666666666666.jpg,92200,10000,82200,217.5,
175/173,SR,デデンネGX(SA),175/173,35000,7/3,,22800,在庫あり (12枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3030322e6a7067003136300000660023666666666666.jpg,12200,3000,9200,35.7,17.8
176/173,SR,エーフィ＆デオキシスGX,176/173,20000,7/3,,8480,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3030332e6a70670031363000534f4c44204f555400660023666666666666.jpg,11520,3000,8520,74.2,37.1
180/173,SR,ジラーチGX,180/173,14000,7/3,,3280,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3030372e6a70670031363000534f4c44204f555400660023666666666666.jpg,10720,3000,7720,122.9,61.5
181/173,SR,ブラッキー&ダークライGX,181/173,42000,7/3,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3030382e6a70670031363000534f4c44204f555400660023666666666666.jpg,14200,3000,11200,36.4,18.2
185/173,SR,トゲピー&ピィ&ププリンGX,185/173,25000,7/3,,14800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3031322e6a7067003136300000660023666666666666.jpg,10200,3000,7200,40.4,20.2
187/173,SR,イーブイGX,187/173,25000,7/3,,9480,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3031342e6a7067003136300000660023666666666666.jpg,15520,3000,12520,100.3,50.2
188/173,SR,イーブイGX(SA),188/173,90000,7/3,,59800,在庫あり (7枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3031352e6a7067003136300000660023666666666666.jpg,30200,10000,20200,28.9,
193/173,SR,グリーンの戦略,193/173,52000,7/3,,39800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032302e6a7067003136300000660023666666666666.jpg,12200,3000,9200,21.5,10.7
196/173,SR,ブルーの探索,196/173,100000,7/3,,72800,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032332e6a7067003136300000660023666666666666.jpg,27200,3000,24200,31.9,16.0
198/173,SR,マツリカ,198/173,14000,7/3,,8480,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032352e6a7067003136300000660023666666666666.jpg,5520,3000,2520,22.0,11.0
201/173,SR,レッドの挑戦,201/173,70000,7/3,,47800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f3032382e6a7067003136300000660023666666666666.jpg,22200,3000,19200,37.8,18.9
001/173,RR,フェローチェ＆マッシブーンGX,001/173,6000,7/3,,580,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613030312e6a70670031363000534f4c44204f555400660023666666666666.jpg,5420,3000,2420,67.6,33.8
041/173,RR,ピカチュウ＆ゼクロムGX,041/173,20000,7/3,,6980,在庫あり (23枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613034312e6a7067003136300000660023666666666666.jpg,13020,3000,10020,100.4,50.2
052/173,RR,ミュウツー＆ミュウGX,052/173,18000,7/3,,7280,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613035322e6a7067003136300000660023666666666666.jpg,10720,3000,7720,75.1,37.5
083/173,RR,ルカリオ＆メルメタルGX,083/173,7000,7/3,,1480,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613038332e6a7067003136300000660023666666666666.jpg,5520,3000,2520,56.2,28.1
094/173,RR,トゲピー＆ピィ＆ププリンGX,094/173,11000,7/3,,3980,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613039342e6a7067003136300000660023666666666666.jpg,7020,3000,4020,57.6,28.8
099/173,RR,ガブリアス＆ギラティナGX,099/173,8000,7/3,,2980,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613039392e6a7067003136300000660023666666666666.jpg,5020,3000,2020,33.8,16.9
100/173,RR,レックウザGX,100/173,15000,7/3,,1680,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613130302e6a70670031363000534f4c44204f555400660023666666666666.jpg,13320,3000,10320,220.5,110.3
102/173,RR,ファイヤー＆サンダー＆フリーザーGX,102/173,12000,7/3,,4480,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3132613130322e6a7067003136300000660023666666666666.jpg,7520,3000,4520,60.4,30.2
058/049,CHR,ミミッキュ,058/049,16000,7/3,,9980,在庫あり (19枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303830395f3736373461382e6a7067003136300000660023666666666666.jpg,6020,3000,3020,23.3,11.6
066/064,SR,フシギバナ＆ツタージャGX(SA),066/064,30000,7/3,,18800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d313161323030322e6a7067003136300000660023666666666666.jpg,11200,3000,8200,37.6,18.8
070/064,SR,カメックス＆ポッチャマGX(SA),070/064,80000,7/3,,52800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d313161323030362e6a7067003136300000660023666666666666.jpg,27200,3000,24200,43.4,21.7
096/094,SR,ヤドン＆コダックGX(SA),096/094,110000,7/3,,59800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f3834323834632e6a70670031363000534f4c44204f555400660023666666666666.jpg,50200,10000,40200,57.6,
098/094,SR,ミュウツー＆ミュウGX(SA),098/094,400000,7/3,,198000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f3863346430622e6a70670031363000534f4c44204f555400660023666666666666.jpg,202000,10000,192000,92.3,
102/094,SR,メガヤミラミ＆バンギラスGX(SA),102/094,58000,7/3,,42800,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732385f6262316165362e6a7067003136300000660023666666666666.jpg,15200,3000,12200,26.6,13.3
060/054,SR,ファイヤー＆サンダー＆フリーザーGX(SA),060/054,300000,7/3,,128000,在庫あり (8枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303432355f3236366530392e6a7067003136300000660023666666666666.jpg,172000,10000,162000,117.4,
062/054,SR,ムサシとコジロウ,062/054,55000,7/3,,37800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130623036322e6a7067003136300000660023666666666666.jpg,17200,3000,14200,34.8,17.4
057/054,SR,ライチュウ＆アローラライチュウGX(SA),057/054,150000,7/3,,99800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130613035372e6a7067003136300000660023666666666666.jpg,50200,10000,40200,36.6,
060/054,SR,ガブリアス＆ギラティナGX(SA),060/054,110000,7/3,,44800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d3130613036302e6a70670031363000534f4c44204f555400660023666666666666.jpg,65200,10000,55200,100.7,
108/095,HR,レシラム＆リザードンGX,108/095,48000,7/3,,25800,在庫あり (2枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303330315f3665316363372e6a7067003136300000660023666666666666.jpg,22200,3000,19200,66.7,33.3
097/095,SR,レシラム＆リザードンGX(SA),097/095,240000,7/3,,138000,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d31303039372e6a7067003136300000660023666666666666.jpg,102000,10000,92000,62.2,
059/054,SR,ルカリオ＆メルメタルGX(SA),059/054,50000,7/3,,25800,在庫あり (6枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d39622d3035392e6a7067003136300000660023666666666666.jpg,24200,3000,21200,73.6,36.8
059/055,SR,ゲッコウガ＆ゾロアークGX(SA),059/055,74000,7/3,,49800,在庫あり (15枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533332e6a7067003136300000660023666666666666.jpg,24200,3000,21200,40.2,20.1
061/055,SR,サーナイト＆ニンフィアGX(SA),061/055,220000,7/3,,108000,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f535f5f333634353533352e6a7067003136300000660023666666666666.jpg,112000,10000,102000,86.4,
112/095,HR,ピカチュウ＆ゼクロムGX,112/095,80000,7/3,,35800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393131322e6a7067003136300000660023666666666666.jpg,44200,10000,34200,74.7,
113/095,HR,ゲンガー＆ミミッキュGX,113/095,80000,7/3,,52800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393131332e4a5047003136300000660023666666666666.jpg,27200,3000,24200,43.4,21.7
097/095,SR,セレビィ＆フシギバナGX(SA),097/095,55000,7/3,,37800,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393039372e6a7067003136300000660023666666666666.jpg,17200,3000,14200,34.8,17.4
099/095,SR,コイキング＆ホエルオーGX(SA),099/095,200000,7/3,,138000,在庫あり (5枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393039392e6a7067003136300000660023666666666666.jpg,62000,10000,52000,35.1,
101/095,SR,ピカチュウ＆ゼクロムGX(SA),101/095,500000,7/3,,298000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130312e4a50470031363000534f4c44204f555400660023666666666666.jpg,202000,10000,192000,62.3,
103/095,SR,ゲンガー＆ミミッキュGX(SA),103/095,350000,7/3,,278000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130332e6a70670031363000534f4c44204f555400660023666666666666.jpg,72000,10000,62000,21.5,
105/095,SR,ラティアス＆ラティオスGX(SA),105/095,650000,7/3,,478000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f736d393130352e4a50470031363000534f4c44204f555400660023666666666666.jpg,172000,10000,162000,33.2,
238/150,SSR,ニンフィアGX,238/150,58000,7/3,,37800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7573666f696c3233352e6a7067003136300000660023666666666666.jpg,20200,3000,17200,42.2,21.1
108/095,HR,ルギアGX,108/095,70000,7/3,,49800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138303930375f6463353436372e6a70670031363000534f4c44204f555400660023666666666666.jpg,20200,3000,17200,32.6,16.3
101/095,SR,アカネ,101/095,28000,7/3,,15800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f313839377073696e382e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200,3000,9200,48.9,24.5
060/050,HR,ミミッキュGX,060/050,30000,7/3,,17800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d696d696b6b797568722e6a70670031363000534f4c44204f555400660023666666666666.jpg,12200,3000,9200,44.2,22.1
065/060,SR,カヒリ,065/060,15000,7/3,,8980,在庫あり (13枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6b616869726973722e6a7067003136300000660023666666666666.jpg,6020,3000,3020,25.2,12.6
059/050,HR,ルカリオGX,059/050,35000,7/3,,21800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72756b6172696f3035392e6a70670031363000534f4c44204f555400660023666666666666.jpg,13200,3000,10200,41.1,20.6
118/114,SR,スイレン,118/114,140000,7/3,,64800,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f73756972656e6e7372392e6a7067003136300000660023666666666666.jpg,75200,10000,65200,87.2,
119/114,SR,リーリエ,119/114,1400000,7/3,,998000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303732335f6136396334612e6a70670031363000534f4c44204f555400660023666666666666.jpg,402000,10000,392000,38.9,
120/114,SR,ルザミーネ,120/114,300000,7/3,,178000,在庫あり (10枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72757a616d6979616d696f7469312e6a7067003136300000660023666666666666.jpg,122000,10000,112000,59.6,
080/072,HR,ミュウツーGX,080/072,160000,7/3,,89800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d79757574752d68722e6a7067003136300000660023666666666666.jpg,70200,10000,60200,60.3,
082/072,＊,ミュウツーGX(SR仕様),082/072,500000,7/3,,378000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d79757574752d3038322e6a70670031363000534f4c44204f555400660023666666666666.jpg,122000,10000,112000,28.9,
058/051,HR,リザードンGX,058/051,550000,7/3,,398000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72697a6168722e6a70670031363000534f4c44204f555400660023666666666666.jpg,152000,10000,142000,34.8,
059/051,HR,ホウオウGX,059/051,55000,7/3,,37800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f686f756f756872312e6a7067003136300000660023666666666666.jpg,17200,3000,14200,34.8,17.4
052/051,SR,リザードンGX,052/051,240000,7/3,,148000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f72697a6173722e6a70670031363000534f4c44204f555400660023666666666666.jpg,92000,10000,82000,51.9,
063/049,HR,ダークライGX,063/049,50000,7/3,,27800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f64612d6b7572616968722e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200,3000,19200,62.3,31.2
056/049,SR,アセロラ,056/049,900000,7/3,,598000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234303131345f3333663761642e6a7067003136300000660023666666666666.jpg,302000,10000,292000,48.0,
055/050,SR,マオ,055/050,75000,7/3,,49800,在庫あり (11枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6d616f73722e6a7067003136300000660023666666666666.jpg,25200,3000,22200,42.0,21.0
064/051,HR,ニンフィアGX,064/051,450000,7/3,,248000,在庫あり (3枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e6966696168722e6a7067003136300000660023666666666666.jpg,202000,10000,192000,74.4,
057/051,SR,ニンフィアGX,057/051,90000,7/3,,54800,在庫あり (4枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f6e696e6e666973722e6a7067003136300000660023666666666666.jpg,35200,10000,25200,38.9,
068/060,HR,エーフィGX,068/060,70000,7/3,,47800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f652d666968722e6a70670031363000534f4c44204f555400660023666666666666.jpg,22200,3000,19200,37.8,18.9
062/060,SR,エーフィGX,062/060,50000,7/3,,21800,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138303930395f6166626663612e4a5047003136300000660023666666666666.jpg,28200,3000,25200,101.6,50.8
066/060,SR,リーリエ,066/060,850000,7/3,,698000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303234303731385f3261336664392e6a7067003136300000660023666666666666.jpg,152000,10000,142000,20.1,
137/SM-P,PROMO,ポンチョを着たイーブイ(シャワーズ),137/SM-P,550000,7/3,,168000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693137322e6a70670031363000534f4c44204f555400660023666666666666.jpg,382000,10000,372000,209.0,
138/SM-P,PROMO,ポンチョを着たイーブイ(サンダース),138/SM-P,300000,7/3,,118000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693133382e6a70670031363000534f4c44204f555400660023666666666666.jpg,182000,10000,172000,134.4,
139/SM-P,PROMO,ポンチョを着たイーブイ(ブースター),139/SM-P,300000,7/3,,118000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693133392e6a70670031363000534f4c44204f555400660023666666666666.jpg,182000,10000,172000,134.4,
140/SM-P,PROMO,ポンチョを着たイーブイ(エーフィ),140/SM-P,250000,7/3,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134302e6a70670031363000534f4c44204f555400660023666666666666.jpg,142000,10000,132000,111.9,
141/SM-P,PROMO,ポンチョを着たイーブイ(ブラッキー),141/SM-P,550000,7/3,,168000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134312e6a70670031363000534f4c44204f555400660023666666666666.jpg,382000,10000,372000,209.0,
142/SM-P,PROMO,ポンチョを着たイーブイ(リーフィア),142/SM-P,280000,7/3,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134322e6a70670031363000534f4c44204f555400660023666666666666.jpg,172000,10000,162000,137.3,
143/SM-P,PROMO,ポンチョを着たイーブイ(グレイシア),143/SM-P,250000,7/3,,108000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134332e6a70670031363000534f4c44204f555400660023666666666666.jpg,142000,10000,132000,111.9,
144/SM-P,PROMO,ポンチョを着たイーブイ(ニンフィア),144/SM-P,380000,7/3,,138000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f692d6275693134342e6a70670031363000534f4c44204f555400660023666666666666.jpg,242000,10000,232000,156.8,
270/SM-P,PROMO,レッドのピカチュウ,270/SM-P,130000,7/3,,89800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f7475696b6170393236362e6a70670031363000534f4c44204f555400660023666666666666.jpg,40200,10000,30200,30.3,
283/SM-P,PROMO,ヨコハマのピカチュウ,283/SM-P,130000,7/3,,82800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313233305f6439366330382e6a70670031363000534f4c44204f555400660023666666666666.jpg,47200,10000,37200,40.1,
287/SM-P,PROMO,イーブイ(ムンク),287/SM-P,520000,7/3,,348000,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132365f6439633866372e6a70670031363000534f4c44204f555400660023666666666666.jpg,172000,10000,162000,45.3,
286/SM-P,PROMO,コダック(ムンク),286/SM-P,1000000,7/3,,448000,在庫あり (1枚),https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303138313132365f6561353866362e6a7067003136300000660023666666666666.jpg,552000,10000,542000,118.3,
325/SM-P,PROMO,お茶会ごっこピカチュウ,325/SM-P,130000,7/3,,64800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303331365f3964613431642e6a70670031363000534f4c44204f555400660023666666666666.jpg,65200,10000,55200,73.8,
407/SM-P,PROMO,漫才ごっこピカチュウ,407/SM-P,100000,7/3,,54800,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303932305f3364363538662e6a70670031363000534f4c44204f555400660023666666666666.jpg,45200,10000,35200,54.3,
365/SM-P,PROMO,アーマードミュウツー,365/SM-P,110000,7/3,,3780,在庫なし,https://www.cardrush-pokemon.jp/data/cardrushpokemon/_/70726f647563742f32303139303730355f3332323763322e6a70670031363000534f4c44204f555400660023666666666666.jpg,106220,10000,96220,698.3,
